0: itu-t
1.2.840.113549.1.5.10: pbeWithSHAAndDES-CBC
1.2.840.113549.1.5.12: pkcs5PBKDF2
1.2.840.113549.1.5.13: pkcs5PBES2
1.2.840.113549.1.5.14: pkcs5PBMAC1
1.2.840.113549.1.7: pkcs-7
1.2.840.113549.1.7.1: data
1.2.840.113549.1.7.2: signedData
1.2.840.113549.1.7.3: envelopedData
1.2.840.113549.1.7.4: signedAndEnvelopedData
1.2.840.113549.1.7.5: digestedData
1.2.840.113549.1.7.6: encryptedData
1.2.840.113549.1.7.7: dataWithAttributes
1.2.840.113549.1.7.8: encryptedPrivateKeyInfo
1.2.840.113549.1.9: pkcs-9
1.2.840.113549.1.9.1: emailAddress
1.2.840.113549.1.9.2: unstructuredName
1.2.840.113549.1.9.3: contentType
1.2.840.113549.1.9.4: messageDigest
1.2.840.113549.1.9.5: signingTime
1.2.840.113549.1.9.6: countersignature
1.2.840.113549.1.9.7: challengePassword
1.2.840.113549.1.9.8: unstructuredAddress
1.2.840.113549.1.9.9: extendedCertificateAttributes
1.2.840.113549.1.9.10: issuerAndSerialNumber
1.2.840.113549.1.9.11: passwordCheck
1.2.840.113549.1.9.12: publicKey
1.2.840.113549.1.9.13: signingDescription
1.2.840.113549.1.9.14: extensionRequest
1.2.840.113549.1.9.15: sMIMECapabilities
1.2.840.113549.1.9.15.1: preferSignedData
1.2.840.113549.1.9.15.2: canNotDecryptAny
1.2.840.113549.1.9.15.3: receiptRequest
1.2.840.113549.1.9.15.4: receipt
1.2.840.113549.1.9.15.5: contentHints
1.2.840.113549.1.9.15.6: mlExpansionHistory
1.2.840.113549.1.9.16: id-sMIME
1.2.840.113549.1.9.16.0: id-mod
1.2.840.113549.1.9.16.0.1: id-mod-cms
1.2.840.113549.1.9.16.0.2: id-mod-ess
1.2.840.113549.1.9.16.0.3: id-mod-oid
1.2.840.113549.1.9.16.0.4: id-mod-msg-v3
1.2.840.113549.1.9.16.0.5: id-mod-ets-eSignature-88
1.2.840.113549.1.9.16.0.6: id-mod-ets-eSignature-97
1.2.840.113549.1.9.16.0.7: id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.0.8: id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.1: contentType
1.2.840.113549.1.9.16.1.0: anyContentType
1.2.840.113549.1.9.16.1.1: receipt
1.2.840.113549.1.9.16.1.2: authData
1.2.840.113549.1.9.16.1.3: publishCert
1.2.840.113549.1.9.16.1.4: tSTInfo
1.2.840.113549.1.9.16.1.5: tDTInfo
1.2.840.113549.1.9.16.1.6: contentInfo
1.2.840.113549.1.9.16.1.7: dVCSRequestData
1.2.840.113549.1.9.16.1.8: dVCSResponseData
1.2.840.113549.1.9.16.1.9: compressedData
1.2.840.113549.1.9.16.1.10: scvpCertValRequest
1.2.840.113549.1.9.16.1.11: scvpCertValResponse
1.2.840.113549.1.9.16.1.12: scvpValPolRequest
1.2.840.113549.1.9.16.1.13: scvpValPolResponse
1.2.840.113549.1.9.16.1.14: attrCertEncAttrs
1.2.840.113549.1.9.16.1.15: tSReq
1.2.840.113549.1.9.16.1.16: firmwarePackage
1.2.840.113549.1.9.16.1.17: firmwareLoadReceipt
1.2.840.113549.1.9.16.1.18: firmwareLoadError
1.2.840.113549.1.9.16.1.19: contentCollection
1.2.840.113549.1.9.16.1.20: contentWithAttrs
1.2.840.113549.1.9.16.1.21: encKeyWithID
1.2.840.113549.1.9.16.1.22: encPEPSI
1.2.840.113549.1.9.16.1.23: authEnvelopedData
1.2.840.113549.1.9.16.1.24: routeOriginAttest
1.2.840.113549.1.9.16.1.25: symmetricKeyPackage
1.2.840.113549.1.9.16.1.26: rpkiManifest
1.2.840.113549.1.9.16.1.27: asciiTextWithCRLF
1.2.840.113549.1.9.16.1.28: xml
1.2.840.113549.1.9.16.1.29: pdf
1.2.840.113549.1.9.16.1.30: postscript
1.2.840.113549.1.9.16.1.31: timestampedData
1.2.840.113549.1.9.16.1.32: asAdjacencyAttest
1.2.840.113549.1.9.16.1.33: rpkiTrustAnchor
1.2.840.113549.1.9.16.1.34: trustAnchorList
1.2.840.113549.1.9.16.1.35: rpkiGhostbusters
1.2.840.113549.1.9.16.1.36: resourceTaggedAttest
1.2.840.113549.1.9.16.1.37: utf8TextWithCRLF
1.2.840.113549.1.9.16.1.38: htmlWithCRLF
1.2.840.113549.1.9.16.1.39: epub
1.2.840.113549.1.9.16.1.40: animaJSONVoucher
1.2.840.113549.1.9.16.1.41: mudType
1.2.840.113549.1.9.16.1.42: sztpConveyedInfoXML
1.2.840.113549.1.9.16.1.43: sztpConveyedInfoJSON
1.2.840.113549.1.9.16.1.44: cbor
1.2.840.113549.1.9.16.1.45: cborSequence
1.2.840.113549.1.9.16.1.46: animaCBORVoucher
1.2.840.113549.1.9.16.1.47: geofeedCSVwithCRLF
1.2.840.113549.1.9.16.1.48: rpkiSignedChecklist
1.2.840.113549.1.9.16.1.49: rpkiASPA
1.2.840.113549.1.9.16.2: authenticatedAttributes
1.2.840.113549.1.9.16.2.1: receiptRequest
1.2.840.113549.1.9.16.2.2: securityLabel
1.2.840.113549.1.9.16.2.3: mlExpandHistory
1.2.840.113549.1.9.16.2.4: contentHint
1.2.840.113549.1.9.16.2.5: msgSigDigest
1.2.840.113549.1.9.16.2.6: encapContentType
1.2.840.113549.1.9.16.2.7: contentIdentifier
1.2.840.113549.1.9.16.2.8: macValue
1.2.840.113549.1.9.16.2.9: equivalentLabels
1.2.840.113549.1.9.16.2.10: contentReference
1.2.840.113549.1.9.16.2.11: encrypKeyPref
1.2.840.113549.1.9.16.2.12: signingCertificate
1.2.840.113549.1.9.16.2.13: smimeEncryptCerts
1.2.840.113549.1.9.16.2.14: timeStampToken
1.2.840.113549.1.9.16.2.15: sigPolicyId
1.2.840.113549.1.9.16.2.16: commitmentType
1.2.840.113549.1.9.16.2.17: signerLocation
1.2.840.113549.1.9.16.2.18: signerAttr
1.2.840.113549.1.9.16.2.19: otherSigCert
1.2.840.113549.1.9.16.2.20: contentTimestamp
1.2.840.113549.1.9.16.2.21: certificateRefs
1.2.840.113549.1.9.16.2.22: revocationRefs
1.2.840.113549.1.9.16.2.23: certValues
1.2.840.113549.1.9.16.2.24: revocationValues
1.2.840.113549.1.9.16.2.25: escTimeStamp
1.2.840.113549.1.9.16.2.26: certCRLTimestamp
1.2.840.113549.1.9.16.2.27: archiveTimeStamp
1.2.840.113549.1.9.16.2.28: signatureType
1.2.840.113549.1.9.16.2.29: dvcsDvc
1.2.840.113549.1.9.16.2.30: cekReference
1.2.840.113549.1.9.16.2.31: maxCEKDecrypts
1.2.840.113549.1.9.16.2.32: kekDerivationAlg
1.2.840.113549.1.9.16.2.33: intendedRecipients
1.2.840.113549.1.9.16.2.34: cmcUnsignedData
1.2.840.113549.1.9.16.2.35: fwPackageID
1.2.840.113549.1.9.16.2.36: fwTargetHardwareIDs
1.2.840.113549.1.9.16.2.37: fwDecryptKeyID
1.2.840.113549.1.9.16.2.38: fwImplCryptAlgs
1.2.840.113549.1.9.16.2.39: fwWrappedFirmwareKey
1.2.840.113549.1.9.16.2.40: fwCommunityIdentifiers
1.2.840.113549.1.9.16.2.41: fwPkgMessageDigest
1.2.840.113549.1.9.16.2.42: fwPackageInfo
1.2.840.113549.1.9.16.2.43: fwImplCompressAlgs
1.2.840.113549.1.9.16.2.44: etsAttrCertificateRefs
1.2.840.113549.1.9.16.2.45: etsAttrRevocationRefs
1.2.840.113549.1.9.16.2.46: binarySigningTime
1.2.840.113549.1.9.16.2.47: signingCertificateV2
1.2.840.113549.1.9.16.2.48: etsArchiveTimeStampV2
1.2.840.113549.1.9.16.2.49: erInternal
1.2.840.113549.1.9.16.2.50: erExternal
1.2.840.113549.1.9.16.2.51: multipleSignatures
1.2.840.113549.1.9.16.2.52: cmsAlgorithmProtect
1.2.840.113549.1.9.16.2.53: setKeyInformation
1.2.840.113549.1.9.16.2.54: asymmDecryptKeyID
1.2.840.113549.1.9.16.2.55: secureHeaderFieldsIdentifier
1.2.840.113549.1.9.16.2.56: otpChallenge
1.2.840.113549.1.9.16.2.57: revocationChallenge
1.2.840.113549.1.9.16.2.58: estIdentityLinking
1.2.840.113549.1.9.16.3: alg
1.2.840.113549.1.9.16.4: cd
1.2.840.113549.1.9.16.5: spq
1.2.840.113549.1.9.16.6: cti
1.2.840.113549.1.9.16.7: tsp
1.2.840.113549.1.9.16.8: skd
1.2.840.113549.1.9.16.9: signatureTypeIdentifier
1.2.840.113549.1.9.16.9.1: originatorSig
1.2.840.113549.1.9.16.9.2: domainSig
1.2.840.113549.1.9.16.9.3: additionalAttributesSig
1.2.840.113549.1.9.16.9.4: reviewSig
1.2.840.113549.1.9.16.10: eit
1.2.840.113549.1.9.16.11: capabilities
1.2.840.113549.1.9.16.11.1: preferBinaryInside
1.2.840.113549.1.9.16.12: pskcAttributes
1.2.840.113549.1.9.16.12.1: pskcManufacturer
1.2.840.113549.1.9.16.12.2: pskcSerialNo
1.2.840.113549.1.9.16.12.3: pskcModel
1.2.840.113549.1.9.16.12.4: pskcIssueno
1.2.840.113549.1.9.16.12.5: pskcDevicebinding
1.2.840.113549.1.9.16.12.6: pskcDevicestartdate
1.2.840.113549.1.9.16.12.7: pskcDeviceexpirydate
1.2.840.113549.1.9.16.12.8: pskcModuleid
1.2.840.113549.1.9.16.12.9: pskcKeyid
1.2.840.113549.1.9.16.12.10: pskcAlgorithm
1.2.840.113549.1.9.16.12.11: pskcIssuer
1.2.840.113549.1.9.16.12.12: pskcKeyprofileid
1.2.840.113549.1.9.16.12.13: pskcKeyreference
1.2.840.113549.1.9.16.12.14: pskcFriendlyname
1.2.840.113549.1.9.16.12.15: pskcAlgorithmparams
1.2.840.113549.1.9.16.12.16: pskcCounter
1.2.840.113549.1.9.16.12.17: pskcTime
1.2.840.113549.1.9.16.12.18: pskcTimeinterval
1.2.840.113549.1.9.16.12.19: pskcTimedrift
1.2.840.113549.1.9.16.12.20: pskcValuemac
1.2.840.113549.1.9.16.12.21: pskcKeystartdate
1.2.840.113549.1.9.16.12.22: pskcKeyexpirydate
1.2.840.113549.1.9.16.12.23: pskcNooftransactions
1.2.840.113549.1.9.16.12.24: pskcKeyusages
1.2.840.113549.1.9.16.12.25: pskcPinpolicy
1.2.840.113549.1.9.16.12.26: pskcDeviceuserid
1.2.840.113549.1.9.16.12.27: pskcKeyuserid
1.2.840.113549.1.9.16.13: otherRecipientInfoIds
1.2.840.113549.1.9.16.13.1: keyTransPSK
1.2.840.113549.1.9.16.13.2: keyAgreePSK
1.2.840.113549.1.9.20: friendlyName (for PKCS #12)
1.2.840.113549.1.9.21: localKeyID (for PKCS #12)
1.2.840.113549.1.9.22: certTypes (for PKCS #12)
1.2.840.113549.1.9.22.1: x509Certificate (for PKCS #12)
1.2.840.113549.1.9.22.2: sdsiCertificate (for PKCS #12)
1.2.840.113549.1.9.23: crlTypes (for PKCS #12)
1.2.840.113549.1.9.23.1: x509Crl (for PKCS #12)
1.2.840.113549.1.9.24: pkcs9objectClass
1.2.840.113549.1.9.25: pkcs9attributes
1.2.840.113549.1.9.25.1: pkcs15Token
1.2.840.113549.1.9.25.2: encryptedPrivateKeyInfo
1.2.840.113549.1.9.25.3: randomNonce
1.2.840.113549.1.9.25.4: sequenceNumber
1.2.840.113549.1.9.25.5: pkcs7PDU
1.2.840.113549.1.9.26: pkcs9syntax
1.2.840.113549.1.9.27: pkcs9matchingRules
1.2.840.113549.1.9.52: cmsAlgorithmProtection
1.2.840.113549.1.12: pkcs-12
1.2.840.113549.1.12.1: pkcs-12-PbeIds
1.2.840.113549.1.12.1.1: pbeWithSHAAnd128BitRC4
1.2.840.113549.1.12.1.2: pbeWithSHAAnd40BitRC4
1.2.840.113549.1.12.1.3: pbeWithSHAAnd3-KeyTripleDES-CBC
1.2.840.113549.1.12.1.4: pbeWithSHAAnd2-KeyTripleDES-CBC
1.2.840.113549.1.12.1.5: pbeWithSHAAnd128BitRC2-CBC
1.2.840.113549.1.12.1.6: pbeWithSHAAnd40BitRC2-CBC
1.2.840.113549.1.12.2: pkcs-12-ESPVKID
1.2.840.113549.1.12.2.1: pkcs-12-PKCS8KeyShrouding
1.2.840.113549.1.12.3: pkcs-12-BagIds
1.2.840.113549.1.12.3.1: pkcs-12-keyBagId
1.2.840.113549.1.12.3.2: pkcs-12-certAndCRLBagId
1.2.840.113549.1.12.3.3: pkcs-12-secretBagId
1.2.840.113549.1.12.3.4: pkcs-12-safeContentsId
1.2.840.113549.1.12.3.5: pkcs-12-pkcs-8ShroudedKeyBagId
1.2.840.113549.1.12.4: pkcs-12-CertBagID
1.2.840.113549.1.12.4.1: pkcs-12-X509CertCRLBagID
1.2.840.113549.1.12.4.2: pkcs-12-SDSICertBagID
1.2.840.113549.1.12.5: pkcs-12-OID
1.2.840.113549.1.12.5.1: pkcs-12-PBEID
1.2.840.113549.1.12.5.1.1: pkcs-12-PBEWithSha1And128BitRC4
1.2.840.113549.1.12.5.1.2: pkcs-12-PBEWithSha1And40BitRC4
1.2.840.113549.1.12.5.1.3: pkcs-12-PBEWithSha1AndTripleDESCBC
1.2.840.113549.1.12.5.1.4: pkcs-12-PBEWithSha1And128BitRC2CBC
1.2.840.113549.1.12.5.1.5: pkcs-12-PBEWithSha1And40BitRC2CBC
1.2.840.113549.1.12.5.1.6: pkcs-12-PBEWithSha1AndRC4
1.2.840.113549.1.12.5.1.7: pkcs-12-PBEWithSha1AndRC2CBC
1.2.840.113549.1.12.5.2: pkcs-12-EnvelopingID
1.2.840.113549.1.12.5.2.1: pkcs-12-RSAEncryptionWith128BitRC4
1.2.840.113549.1.12.5.2.2: pkcs-12-RSAEncryptionWith40BitRC4
1.2.840.113549.1.12.5.2.3: pkcs-12-RSAEncryptionWithTripleDES
1.2.840.113549.1.12.5.3: pkcs-12-SignatureID
1.2.840.113549.1.12.5.3.1: pkcs-12-RSASignatureWithSHA1Digest
1.2.840.113549.1.12.10: pkcs-12Version1
1.2.840.113549.1.12.10.1: pkcs-12BadIds
1.2.840.113549.1.12.10.1.1: pkcs-12-keyBag
1.2.840.113549.1.12.10.1.2: pkcs-12-pkcs-8ShroudedKeyBag
1.2.840.113549.1.12.10.1.3: pkcs-12-certBag
1.2.840.113549.1.12.10.1.4: pkcs-12-crlBag
1.2.840.113549.1.12.10.1.5: pkcs-12-secretBag
1.2.840.113549.1.12.10.1.6: pkcs-12-safeContentsBag
1.2.840.113549.1.15: pkcs-15
1.2.840.113549.2: digestAlgorithm
1.2.840.113549.2.2: md2
1.2.840.113549.2.4: md4
1.2.840.113549.2.5: md5
1.2.840.113549.2.7: hmacWithSHA1
1.2.840.113549.2.8: hmacWithSHA224
1.2.840.113549.2.9: hmacWithSHA256
1.2.840.113549.2.10: hmacWithSHA384
1.2.840.113549.2.11: hmacWithSHA512
1.2.840.113549.3: encryptionAlgorithm
1.2.840.113549.3.2: rc2CBC
1.2.840.113549.3.3: rc2ECB
1.2.840.113549.3.4: rc4
1.2.840.113549.3.5: rc4WithMAC
1.2.840.113549.3.6: desx-CBC
1.2.840.113549.3.7: des-EDE3-CBC
1.2.840.113549.3.8: rc5CBC
1.2.840.113549.3.9: rc5-CBCPad
1.2.840.113549.3.10: desCDMF
1.2.840.113556: microsoft
1.2.840.113556.1: active-directory
1.2.840.113556.1.2: attribute-schema-objects
1.2.840.113556.1.3: class-schema-objects
1.2.840.113556.1.4: attribute-schema-objects
1.2.840.113556.4: ms-files
1.2.840.113583: adbe
1.2.840.113628: canadian-national-railways
1.2.840.113635: apple
1.2.840.114021: identrus-llc
1.3: identified-organization
1.3.6: dod
1.3.6.1: internet
1.3.6.1.4: private
1.3.6.1.4.1: enterprise
1.3.6.1.4.1.188: ascom
1.3.6.1.4.1.188.7: systec
1.3.6.1.4.1.188.7.1: security
1.3.6.1.4.1.311: microsoft
1.3.6.1.4.1.311.2: authenticode
1.3.6.1.4.1.311.2.1: spc
1.3.6.1.4.1.311.2.1.4: spcIndirectDataContext
1.3.6.1.4.1.311.2.1.10: spcAgencyInfo
1.3.6.1.4.1.311.2.1.11: spcStatementType
1.3.6.1.4.1.311.2.1.12: spcSpOpusInfo
1.3.6.1.4.1.311.2.1.14: certReqExtensions
1.3.6.1.4.1.311.2.1.15: spcPEImageData
1.3.6.1.4.1.311.2.1.18: spcRawFileData
1.3.6.1.4.1.311.2.1.19: spcStructuredStorageData
1.3.6.1.4.1.311.2.1.20: spcJavaClassData (type 1)
1.3.6.1.4.1.311.2.1.21: individualCodeSigning
1.3.6.1.4.1.311.2.1.22: commercialCodeSigning
1.3.6.1.4.1.311.2.1.25: spcLink (type 2)
1.3.6.1.4.1.311.2.1.26: spcMinimalCriteriaInfo
1.3.6.1.4.1.311.2.1.27: spcFinancialCriteriaInfo
1.3.6.1.4.1.311.2.1.28: spcLink (type 3)
1.3.6.1.4.1.311.2.1.29: spcHashInfoObjID
1.3.6.1.4.1.311.2.1.30: spcSipInfoObjID
1.3.6.1.4.1.311.2.2: ctl
1.3.6.1.4.1.311.2.2.1: ctlTrustedCodesigningCAList
1.3.6.1.4.1.311.2.2.2: ctlTrustedClientAuthCAList
1.3.6.1.4.1.311.2.2.3: ctlTrustedServerAuthCAList
1.3.6.1.4.1.311.3: timestamping
1.3.6.1.4.1.311.3.2: associated-encoders-or-decoders-for-timestamping
1.3.6.1.4.1.311.3.3: ???
1.3.6.1.4.1.311.3.3.1: timestampingSignature
1.3.6.1.4.1.311.10: crypto-2-0
1.3.6.1.4.1.311.10.3: enhanced-key-usage
1.3.6.1.4.1.311.10.4: microsoft-attribute
1.3.6.1.4.1.311.10.5: drm
1.3.6.1.4.1.311.10.6: licenses
1.3.6.1.4.1.311.10.7: cert-rdn
1.3.6.1.4.1.311.10.8: microsoft-extensions
1.3.6.1.4.1.311.10.9: microsoft-certificate-extensions
1.3.6.1.4.1.311.10.10: cmc
1.3.6.1.4.1.311.10.12: crypt-ui
1.3.6.1.4.1.311.12: catalog
1.3.6.1.4.1.311.12.1: any-application-policy
1.3.6.1.4.1.311.12.2: objects
1.3.6.1.4.1.311.12.2.1: catalogNameValueObjID
1.3.6.1.4.1.311.12.2.2: catalogMemberInfoObjID
1.3.6.1.4.1.311.13: microsoft-pkcs-10
1.3.6.1.4.1.311.13.1: renewalCertificate
1.3.6.1.4.1.311.13.2: ???
1.3.6.1.4.1.311.13.2.1: enrolmentNameValuePair
1.3.6.1.4.1.311.13.2.2: enrolmentCSP
1.3.6.1.4.1.311.13.2.3: osVersion
1.3.6.1.4.1.311.16: outlook-exchange
1.3.6.1.4.1.311.16.4: microsoftRecipientInfo
1.3.6.1.4.1.311.17: microsoft-pkcs-12-attributes
1.3.6.1.4.1.311.17.1: pkcs12KeyProviderNameAttr
1.3.6.1.4.1.311.17.2: localMachineKeyset
1.3.6.1.4.1.311.17.3: pkcs12ExtendedAttributes
1.3.6.1.4.1.311.20: enrollment
1.3.6.1.4.1.311.20.1: autoEnrollCtlUsage
1.3.6.1.4.1.311.20.2: enrollCerttypeExtension
1.3.6.1.4.1.311.20.2.1: enrollmentAgent
1.3.6.1.4.1.311.20.2.2: smartcardLogon
1.3.6.1.4.1.311.20.2.3: userPrincipalName
1.3.6.1.4.1.311.20.3: certManifold
1.3.6.1.4.1.311.21: certificate
1.3.6.1.4.1.311.21.1: cAKeyCertIndexPair
1.3.6.1.4.1.311.21.2: certSrvPreviousCertHash
1.3.6.1.4.1.311.21.3: crlVirtualBase
1.3.6.1.4.1.311.21.4: crlNextPublish
1.3.6.1.4.1.311.21.5: caExchange
1.3.6.1.4.1.311.21.6: keyRecovery
1.3.6.1.4.1.311.21.7: certificateTemplate
1.3.6.1.4.1.311.21.9: rdnDummySigner
1.3.6.1.4.1.311.21.10: applicationCertPolicies
1.3.6.1.4.1.311.21.11: applicationPolicyMappings
1.3.6.1.4.1.311.21.12: applicationPolicyConstraints
1.3.6.1.4.1.311.21.13: archivedKey
1.3.6.1.4.1.311.21.14: crlSelfCDP
1.3.6.1.4.1.311.21.15: requireCertChainPolicy
1.3.6.1.4.1.311.21.16: archivedKeyCertHash
1.3.6.1.4.1.311.21.17: issuedCertHash
1.3.6.1.4.1.311.21.19: dsEmailReplication
1.3.6.1.4.1.311.21.20: requestClientInfo
1.3.6.1.4.1.311.21.21: encryptedKeyHash
1.3.6.1.4.1.311.21.22: certsrvCrossCaVersion
1.3.6.1.4.1.311.25: directory-service
1.3.6.1.4.1.311.25.1: ntdsReplication
1.3.6.1.4.1.311.25.2: ntdsCASecurityExt
1.3.6.1.4.1.311.25.2.1: ntdsObjectSID
1.3.6.1.4.1.311.31: updates
1.3.6.1.4.1.311.31.1: productUpdate
1.3.6.1.4.1.311.47: hcep
1.3.6.1.4.1.311.47.1: nap
1.3.6.1.4.1.311.47.1.1: systemHealth
1.3.6.1.4.1.311.47.1.3: systemHealthLoophole
1.3.6.1.4.1.311.60: ev
1.3.6.1.4.1.311.60.1: root-program
1.3.6.1.4.1.311.60.1.1: rootProgramFlags
1.3.6.1.4.1.311.60.2: ev-certificate-subject-matter
1.3.6.1.4.1.311.60.2.1: statement-id
1.3.6.1.4.1.311.60.2.1.1: jurisdictionOfIncorporationL
1.3.6.1.4.1.311.60.2.1.2: jurisdictionOfIncorporationSP
1.3.6.1.4.1.311.60.2.1.3: jurisdictionOfIncorporationC
1.3.6.1.4.1.311.61: ???
1.3.6.1.4.1.311.61.1: ???
1.3.6.1.4.1.311.61.1.1: kernelModeCodeSigning
1.3.6.1.4.1.311.76: ???
1.3.6.1.4.1.311.76.509: ???
1.3.6.1.4.1.311.76.509.1: ???
1.3.6.1.4.1.311.76.509.1.1: microsoftCPS
1.3.6.1.4.1.311.88: capiCom
1.3.6.1.4.1.311.88.1: capiComVersion
1.3.6.1.4.1.311.88.2: capiComAttribute
1.3.6.1.4.1.311.88.2.1: capiComDocumentName
1.3.6.1.4.1.311.88.2.2: capiComDocumentDescription
1.3.6.1.4.1.311.88.3: capiComEncryptedData
1.3.6.1.4.1.311.88.3.1: capiComEncryptedContent
1.3.6.1.4.1.601: bancomm
1.3.6.1.4.1.601.10: ???
1.3.6.1.4.1.601.10.3: ???
1.3.6.1.4.1.601.10.3.2: TACPolicy
1.3.6.1.4.1.601.10.4: ???
1.3.6.1.4.1.601.10.4.1: timingMetrics
1.3.6.1.4.1.601.10.4.2: timingPolicy
1.3.6.1.4.1.782: network-solutions-llc
1.3.6.1.4.1.782.1: ???
1.3.6.1.4.1.782.1.2: ???
1.3.6.1.4.1.782.1.2.1: ???
1.3.6.1.4.1.782.1.2.1.8: ???
1.3.6.1.4.1.782.1.2.1.8.1: Network Solutions EV policy
1.3.6.1.4.1.2363: eurocontrol-mas-uac
1.3.6.1.4.1.2363.3: ???
1.3.6.1.4.1.2363.3.2: euroControlUntrustedEA
1.3.6.1.4.1.2363.4: ???
1.3.6.1.4.1.2363.4.3: euroControlEARootCA
1.3.6.1.4.1.2363.4.3.1: euroControlEABridgeCA
